Sort,Data filename,Start,End,Runtime (s),cpu_clk_unhalted.thread_any,cpu_clk_unhalted.thread_any:k,cpu_clk_unhalted.thread_any:u,cs,cs:k,cs:u,dtlb_load_misses.miss_causes_a_walk,dtlb_load_misses.miss_causes_a_walk:k,dtlb_load_misses.miss_causes_a_walk:u,dtlb_load_misses.walk_active,dtlb_load_misses.walk_active:k,dtlb_load_misses.walk_active:u,dtlb_store_misses.miss_causes_a_walk,dtlb_store_misses.miss_causes_a_walk:k,dtlb_store_misses.miss_causes_a_walk:u,dtlb_store_misses.walk_active,dtlb_store_misses.walk_active:k,dtlb_store_misses.walk_active:u,faults,faults:k,faults:u,inst_retired.any,inst_retired.any:k,inst_retired.any:u,migrations,migrations:k,migrations:u
2,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-02-58-13-732744006.mmu,0x555555400000,0x555585c00000,8557.191881,6660003917477,1890724673994,4768145256509,15734339,15734339,0,4983851916,849862490,4123502868,564665205008,55752507535,508067223294,726150322,138736992,582089634,41898764550,5869352839,35901137732,797704,32233,765471,4811569749455,1466539910119,3342676162674,0,0,0
2,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-03-00-52-158321013.mmu,0x555555400000,0x555585c00000,7004.99081,6637296727338,1904085249405,4724992057539,15922205,15922205,0,5831368048,1693737143,4130506726,573240397363,68858002723,504257281675,667178900,67836167,598120022,40209741315,3913275743,36138569825,506721,26526,480195,4764297675539,1461747909950,3291899099233,0,0,0
2,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-03-00-54-074452612.mmu,0x555555400000,0x555585c00000,82484,6722100525353,2100108604043,4627830206641,16531938,16531938,0,6458245963,2233900716,4219908755,564114769648,87260402811,475981229983,675670034,77084128,599207531,38576442512,3770300773,34640267707,632868,28146,604722,4934300827611,1580611444492,3353204116840,0,0,0
2,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-03-00-54-606322556.mmu,0x555555400000,0x555585c00000,7063.006852,6534854867479,1897483292318,4641094804642,15537406,15537406,0,5395231241,1370300160,4018588255,539268801072,60649842001,478585813783,664381979,102871056,562781134,38487626298,4074288157,34508268753,622354,26225,596129,4734179534159,1455289839914,3282942537092,0,0,0
2,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-03-04-00-146509902.mmu,0x555555400000,0x555585c00000,7885.114539,6580449279559,1932333123148,4644229468650,15665168,15665168,0,5084557081,978359039,4103000453,537536011986,61555860649,476014045004,700468621,105722451,593590404,41144377566,5970265379,35234625606,594118,30783,563335,4809431885057,1476780380482,3324507212090,0,0,0
3,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-03-05-36-765337419.mmu,0x555585c00000,0x5555b6400000,8035.135873,6705836251030,1896975871251,4805259290763,15912075,15912075,0,5140474542,996341791,4136803030,573506554617,59687248270,513220623638,710246190,94945154,614852673,44770831447,5769912182,38974696571,686066,30009,656057,4819519649521,1459083853524,3356146906449,0,0,0
3,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-03-05-38-178958985.mmu,0x555585c00000,0x5555b6400000,6581.937313,6513942591190,1911488910763,4603086573398,15821442,15821442,0,5028070520,1145355721,3889539363,519776108413,63659025682,456446160013,658239414,62823595,594013031,41454791762,4440312335,37104877870,511947,23336,488611,4736256922044,1466181119098,3269058128381,0,0,0
3,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-03-06-11-596416640.mmu,0x555585c00000,0x5555b6400000,7860.058881,6567283117999,1940404835373,4637090271990,15498506,15498506,0,5336943144,1325574291,4006610827,536939889526,59091929799,477503235845,662959702,66742241,591792803,39370673780,3625844053,35558840380,709657,30577,679080,4777004874762,1471590056031,3309835661815,0,0,0
3,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-03-06-43-894251220.mmu,0x555585c00000,0x5555b6400000,7091.006708,6578180363718,1908323323001,4682584361788,15834044,15834044,0,5062168949,948925410,4114725530,540542903746,54189886953,485162553878,676265892,69781947,607201252,41355016556,4054934913,37257704730,699123,27484,671639,4765269292436,1465617265928,3297431831329,0,0,0
3,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-03-18-27-011826186.mmu,0x555585c00000,0x5555b6400000,7494.058494,6615272222630,1871230560886,4747012666151,15735045,15735045,0,5046671214,946429691,4104884837,558251049950,56145227742,503130845663,655669367,53141653,604710031,41261175348,3752450778,37743341504,648396,28505,619891,4759858771092,1453291821716,3305062093043,0,0,0
