workload,kernel,fragmentation,smaps file,Efficiency
memcached,CBMM,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-2021-12-15-13-08-12-556050382.,0.610
memcached,CBMM,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-fragmentation100-2021-12-15-13-08-21-534188046.,0.000
memcached,HawkEye,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-2021-11-30-11-49-34-070552833.,0.598
memcached,HawkEye,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-fragmentation100-2021-12-03-14-55-22-849999576.,0.000
mix,Linux,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_12__bare_metal__-workload__MixYcsb____size__150__nullfs__false__op_count__9400000__read_prop__0.5__update_prop__0.25__-2021-11-19-11-28-31-133328230.,0.994
mix,Linux,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_12__bare_metal__-workload__MixYcsb____size__150__nullfs__false__op_count__9400000__read_prop__0.5__update_prop__0.25__-fragmentation100-2021-11-19-11-28-35-819612720.,0.956
mix,CBMM,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_12__bare_metal__-workload__MixYcsb____size__150__nullfs__false__op_count__9400000__read_prop__0.5__update_prop__0.25__-2021-12-15-13-08-39-931051250.,0.818
mix,CBMM,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_12__bare_metal__-workload__MixYcsb____size__150__nullfs__false__op_count__9400000__read_prop__0.5__update_prop__0.25__-fragmentation100-2021-12-15-13-08-50-231473816.,0.009
mix,CBMM-tuned,Unfragmented,,
mix,CBMM-tuned,Fragmented,,
mix,HawkEye,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_12__bare_metal__-workload__MixYcsb____size__150__nullfs__false__op_count__9400000__read_prop__0.5__update_prop__0.25__-2021-11-30-13-17-31-807612173.,0.512
mix,HawkEye,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_12__bare_metal__-workload__MixYcsb____size__150__nullfs__false__op_count__9400000__read_prop__0.5__update_prop__0.25__-fragmentation100-2021-11-30-13-17-32-855492519.,0.017
